,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
0,Praha Singh,Helig birma (SBI),1968-05-25,Hane,brunmaskad (n),(GB)GCCF OS 170064  (SE)SVERAK LO 12311,IC,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 152950
1,Praha Hou-Tho,Helig birma (SBI),1969-06-18,Hona,blåmaskad (a),(GB)GCCF OS 188506  (SE)SVERAK LO 14012,IC,(GB)GCCF OS 161638,(GB)GCCF OS 145502
2,Neko De Lao-Tsun of Gayland,Helig birma (SBI),,Hane,brunmaskad (n),(US)CFA 0182-000004 V99,CH,(FR)LOF 2429,(US)CFA 0183-000005 V99
3,Opale de Khlaramour,Helig birma (SBI),,Hona,blåmaskad (a),(US)CFA 0181-000025 V98,CH,(FR)LOF 1838,(FR)LOF Riex 1061
4,Gaylands Quiff of Griswold,Helig birma (SBI),,Hane,brunmaskad (n),(US)CFA 0182-000005 V101,,(US)CFA 0182-000004 V99,(US)CFA 0183-000001 V99
5,Griswold Sanshu of Duvall,Helig birma (SBI),,Hona,brunmaskad (n),(US)CFA 0183-000038 V102,,(US)CFA 0180-000001 V95,(US)CFA 0187-000003 V100
6,Gentiana's Gwenny,Helig birma (SBI),1968-07-22,Hona,brunmaskad (n),(NL)NKS 20-223  (SE)SVERAK RX 12314,,(NL)NKS 6081,(NL)NKS 6082
7,Urooj af Silverbäcken,Helig birma (SBI),1972-04-08,Hane,blåmaskad (a),(SE)SVERAK LO 16539,IC,(SE)SVERAK LO 12311,(SE)SVERAK LO 14012
8,Griswold's Tearia,Helig birma (SBI),1970-06-26,Hona,blåmaskad (a),(SE)SVERAK LO 16126  (US)CFA 0187-000013,IC,(US)CFA 0182-000004 V99,(US)CFA 0181-000025 V98
9,Duvall's Tao,Helig birma (SBI),1970-06-20,Hane,brunmaskad (n),(SE)SVERAK LO 16125  (US)CFA 0182-000027,IC,(US)CFA 0182-000005 V101,(US)CFA 0183-000038 V102
10,Yauri af Silverbäcken,Helig birma (SBI),1972-08-06,Hona,brunmaskad (n),(SE)SVERAK LO 16858,,(SE)SVERAK LO 12311,(SE)SVERAK RX 12314
11,Sinh Faffa af Silverbäcken,Helig birma (SBI),1973-04-04,Hane,blåmaskad (a),(SE)SVERAK LO 18214,IC,(SE)SVERAK LO 16539,(SE)SVERAK LO 16126
12,Sinh Sabrina af Silverbäcken,Helig birma (SBI),1974-10-29,Hona,brunmaskad (n),(SE)SVERAK LO 20297,,(SE)SVERAK LO 16125,(SE)SVERAK LO 16858
13,Gentiana's Mouche,Helig birma (SBI),1967-04-01,Hona,brunmaskad (n),(NL)NKS 6675  (SE)SVERAK RX 12312,CH,(NL)NKS 6081,(NL)NKS 6082
14,Pipo de Clos Fleuri,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 152530*IMP-F,,(FR)LOF 2429,(PT)CPF LO 1152
15,Paranjoti Katmandu,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF OS 152950,CH,(GB)GCCF OS 140035,(GB)GCCF OS 145502
